,event_type,strength_state
98698,shot-on-goal,5v5
98700,shot-on-goal,5v5
98707,shot-on-goal,5v4
98708,shot-on-goal,5v4
98709,missed-shot,5v4
98711,shot-on-goal,5v5
98719,missed-shot,5v4
98722,shot-on-goal,5v4
98723,shot-on-goal,5v4
98725,shot-on-goal,5v5
98726,shot-on-goal,5v5
98730,shot-on-goal,5v5
98731,shot-on-goal,5v5
98734,shot-on-goal,5v5
98736,missed-shot,5v5
98737,missed-shot,5v5
98746,shot-on-goal,5v5
98747,missed-shot,5v5
98750,missed-shot,5v5
98752,missed-shot,5v5
98755,goal,5v5
98758,shot-on-goal,5v5
98760,missed-shot,5v5
98767,missed-shot,5v4
98773,shot-on-goal,5v5
98778,shot-on-goal,5v5
98780,shot-on-goal,5v5
98781,shot-on-goal,5v5
98782,missed-shot,5v5
98789,shot-on-goal,4v5
98790,shot-on-goal,4v5
98801,missed-shot,5v5
98805,shot-on-goal,5v5
98807,missed-shot,5v5
98812,shot-on-goal,5v5
98818,shot-on-goal,5v5
98819,shot-on-goal,5v5
98821,shot-on-goal,5v5
98827,missed-shot,5v5
98829,shot-on-goal,5v5
98831,shot-on-goal,5v5
98833,missed-shot,5v5
98837,missed-shot,5v5
98840,shot-on-goal,5v5
98841,shot-on-goal,5v5
98842,shot-on-goal,5v5
98845,missed-shot,5v5
98847,shot-on-goal,5v5
98852,goal,5v5
98855,shot-on-goal,5v5
98857,shot-on-goal,5v5
98863,shot-on-goal,5v5
98868,shot-on-goal,Other
98869,goal,Other
98872,missed-shot,5v5
98876,shot-on-goal,5v5
98879,shot-on-goal,5v5
98880,shot-on-goal,5v5
98881,missed-shot,5v5
98884,shot-on-goal,5v5
98885,shot-on-goal,5v5
98887,missed-shot,5v5
98888,missed-shot,5v5
98889,shot-on-goal,5v5
98892,shot-on-goal,5v5
98893,shot-on-goal,5v5
98897,shot-on-goal,5v5
98898,shot-on-goal,5v5
98900,shot-on-goal,5v5
98903,shot-on-goal,5v5
98904,shot-on-goal,5v5
98911,shot-on-goal,5v4
98914,missed-shot,5v4
98918,shot-on-goal,5v5
98925,shot-on-goal,5v5
98932,shot-on-goal,5v5
98936,shot-on-goal,5v5
98943,shot-on-goal,5v5
98948,shot-on-goal,5v5
98954,shot-on-goal,5v5
98959,shot-on-goal,5v5
98960,goal,5v5
98963,missed-shot,5v5
98965,shot-on-goal,5v5
98972,missed-shot,5v5
98975,goal,5v5
98977,shot-on-goal,5v5
98978,shot-on-goal,5v5
98979,shot-on-goal,5v5
98981,missed-shot,5v5
98986,missed-shot,5v5
98990,shot-on-goal,5v5
98991,goal,5v5
99000,shot-on-goal,5v4
99001,missed-shot,5v4
99004,shot-on-goal,5v4
99005,missed-shot,4v5
99006,goal,5v4
99008,shot-on-goal,5v5
99012,shot-on-goal,5v4
99014,shot-on-goal,5v4
99015,shot-on-goal,5v4
99016,missed-shot,5v4
99017,goal,5v4
99021,missed-shot,5v5
99023,shot-on-goal,5v5
99025,shot-on-goal,5v5
99027,shot-on-goal,5v5
99032,shot-on-goal,5v5
99034,shot-on-goal,5v5
99035,shot-on-goal,5v5
99037,shot-on-goal,5v5
99038,shot-on-goal,5v5
99040,missed-shot,5v5
99042,shot-on-goal,5v5
99044,missed-shot,5v5
99045,missed-shot,5v5
99047,shot-on-goal,5v5
99049,shot-on-goal,5v5
99054,missed-shot,5v5
99062,shot-on-goal,5v5
99063,missed-shot,5v5
99067,shot-on-goal,5v5
99068,missed-shot,5v5
99071,shot-on-goal,5v5
99072,shot-on-goal,5v5
99073,goal,5v5
99076,shot-on-goal,5v5
99081,missed-shot,5v5
99082,shot-on-goal,5v5
99087,shot-on-goal,5v5
99089,shot-on-goal,5v5
99090,shot-on-goal,5v5
99094,shot-on-goal,5v5
99097,goal,5v5
99100,missed-shot,5v5
99101,missed-shot,5v5
99108,missed-shot,Other
99111,missed-shot,Other
99112,shot-on-goal,4v5
99114,shot-on-goal,Other
99116,shot-on-goal,Other
99118,shot-on-goal,Other
99120,missed-shot,Other
99121,shot-on-goal,Other
99124,shot-on-goal,Other
99131,goal,5v5
99133,shot-on-goal,5v5
99135,missed-shot,5v5
99136,shot-on-goal,5v5
99138,shot-on-goal,5v5
99140,missed-shot,5v5
99144,shot-on-goal,5v5
99148,shot-on-goal,5v5
99154,shot-on-goal,5v5
99160,shot-on-goal,5v5
99166,shot-on-goal,5v5
99168,missed-shot,5v5
99171,shot-on-goal,5v5
99175,shot-on-goal,5v4
99176,shot-on-goal,5v4
99177,shot-on-goal,5v4
99179,shot-on-goal,5v5
99182,shot-on-goal,5v5
99184,shot-on-goal,5v5
99187,shot-on-goal,5v5
99190,missed-shot,5v5
99193,shot-on-goal,5v5
99196,shot-on-goal,5v5
99204,missed-shot,5v4
99206,shot-on-goal,5v4
99209,shot-on-goal,5v5
99210,shot-on-goal,5v5
99214,shot-on-goal,5v5
99217,shot-on-goal,5v5
99218,shot-on-goal,5v5
99220,shot-on-goal,5v5
99221,shot-on-goal,5v5
99222,shot-on-goal,5v5
99224,shot-on-goal,5v5
99227,missed-shot,5v5
99228,shot-on-goal,5v5
99231,goal,5v5
99233,missed-shot,5v5
99234,shot-on-goal,5v5
99237,shot-on-goal,5v5
99241,missed-shot,5v4
99242,shot-on-goal,5v4
99244,shot-on-goal,5v4
99247,shot-on-goal,5v5
99248,shot-on-goal,5v5
99250,shot-on-goal,5v5
99252,shot-on-goal,5v5
99253,shot-on-goal,5v5
99258,goal,5v4
99268,shot-on-goal,5v5
99270,goal,5v5
99279,shot-on-goal,5v5
99288,shot-on-goal,5v5
99292,shot-on-goal,5v5
99296,missed-shot,5v5
99297,missed-shot,5v5
99299,shot-on-goal,5v5
99304,shot-on-goal,5v5
99305,missed-shot,5v5
99307,shot-on-goal,5v5
99309,shot-on-goal,5v5
99311,shot-on-goal,5v5
99313,shot-on-goal,5v5
99317,shot-on-goal,5v5
99320,shot-on-goal,5v5
99324,missed-shot,5v4
99328,shot-on-goal,4v5
99329,missed-shot,5v5
99331,missed-shot,5v5
99335,shot-on-goal,5v5
99337,shot-on-goal,5v5
99345,shot-on-goal,5v5
99347,missed-shot,5v5
99348,missed-shot,5v5
99349,shot-on-goal,5v5
99350,shot-on-goal,5v5
99353,shot-on-goal,5v5
99356,shot-on-goal,5v5
99357,shot-on-goal,5v5
99359,missed-shot,5v5
99361,shot-on-goal,5v5
99363,shot-on-goal,5v5
99366,goal,5v5
99368,shot-on-goal,Other
99370,shot-on-goal,Other
99381,shot-on-goal,5v5
99386,shot-on-goal,5v5
99390,goal,5v4
99393,shot-on-goal,5v5
99395,missed-shot,5v5
99396,shot-on-goal,5v5
99397,shot-on-goal,5v5
99399,missed-shot,5v5
99400,missed-shot,5v5
99404,shot-on-goal,5v5
99407,shot-on-goal,5v5
99408,missed-shot,5v5
99409,shot-on-goal,5v5
99413,shot-on-goal,5v5
99418,missed-shot,5v4
99421,shot-on-goal,5v4
99423,shot-on-goal,5v4
99424,shot-on-goal,5v4
99425,shot-on-goal,5v4
99426,missed-shot,5v4
99427,goal,5v4
99431,shot-on-goal,5v4
99432,goal,5v4
99434,missed-shot,5v5
99436,missed-shot,5v5
99442,shot-on-goal,5v5
99443,missed-shot,5v5
99444,shot-on-goal,5v5
99458,shot-on-goal,5v4
99460,shot-on-goal,5v4
99462,missed-shot,5v5
99470,goal,5v5
99479,goal,5v4
99483,shot-on-goal,4v5
99486,missed-shot,5v4
99487,shot-on-goal,5v4
99488,goal,5v4
99490,missed-shot,5v5
99491,shot-on-goal,5v5
99498,missed-shot,5v5
99501,shot-on-goal,5v5
99502,missed-shot,5v5
99504,missed-shot,5v5
99507,shot-on-goal,5v5
99508,shot-on-goal,5v5
99509,shot-on-goal,5v5
99513,missed-shot,5v5
99514,shot-on-goal,5v5
99516,shot-on-goal,5v5
99517,shot-on-goal,5v5
99520,shot-on-goal,5v5
99521,shot-on-goal,5v5
99523,missed-shot,5v5
99528,shot-on-goal,5v5
99530,missed-shot,5v5
99531,missed-shot,5v5
99533,shot-on-goal,5v5
99534,shot-on-goal,5v5
99538,shot-on-goal,5v5
99542,shot-on-goal,5v5
99544,missed-shot,5v5
99549,shot-on-goal,5v5
99550,shot-on-goal,5v5
99557,missed-shot,5v5
99564,shot-on-goal,5v4
99565,missed-shot,5v4
99566,shot-on-goal,5v4
99567,shot-on-goal,5v4
99569,missed-shot,5v4
99572,shot-on-goal,5v5
99574,shot-on-goal,5v5
99575,shot-on-goal,5v5
99577,shot-on-goal,5v5
99581,shot-on-goal,5v5
99583,shot-on-goal,5v5
99588,missed-shot,5v5
99589,shot-on-goal,5v5
99590,missed-shot,5v5
99592,shot-on-goal,5v5
99594,shot-on-goal,5v5
99599,missed-shot,5v5
99603,shot-on-goal,5v5
99605,shot-on-goal,5v5
99612,shot-on-goal,5v5
99613,goal,5v5
99615,shot-on-goal,5v5
99619,shot-on-goal,5v5
99620,shot-on-goal,5v5
99628,shot-on-goal,5v5
99629,shot-on-goal,5v5
99631,shot-on-goal,5v5
99636,shot-on-goal,5v5
99641,goal,5v5
99643,shot-on-goal,5v5
99645,shot-on-goal,Other
99646,missed-shot,Other
99656,goal,5v5
99659,shot-on-goal,5v5
99662,shot-on-goal,5v5
99663,shot-on-goal,5v5
99670,shot-on-goal,5v5
99674,shot-on-goal,5v5
99681,missed-shot,5v5
99684,shot-on-goal,5v5
99692,shot-on-goal,5v4
99694,missed-shot,5v4
99695,shot-on-goal,5v4
99696,missed-shot,5v4
99699,shot-on-goal,5v4
99701,shot-on-goal,5v5
99702,missed-shot,5v5
99712,shot-on-goal,5v5
99714,shot-on-goal,5v5
99717,missed-shot,5v4
99721,shot-on-goal,5v5
99726,goal,5v5
99729,shot-on-goal,5v5
99730,shot-on-goal,5v5
99731,shot-on-goal,5v5
99732,shot-on-goal,5v5
99734,missed-shot,5v5
99735,shot-on-goal,5v5
99736,shot-on-goal,5v5
99745,missed-shot,5v5
99746,shot-on-goal,5v5
99749,shot-on-goal,5v5
99751,shot-on-goal,5v5
99752,missed-shot,5v5
99753,shot-on-goal,5v5
99760,shot-on-goal,4v5
99761,missed-shot,5v5
99763,shot-on-goal,5v5
99765,shot-on-goal,5v5
99766,shot-on-goal,5v5
99773,shot-on-goal,5v5
99776,shot-on-goal,5v5
99777,missed-shot,5v5
99779,shot-on-goal,5v5
99781,shot-on-goal,5v5
99786,shot-on-goal,5v5
99790,missed-shot,5v5
99794,missed-shot,5v5
99798,shot-on-goal,Other
99801,shot-on-goal,5v4
99802,goal,5v4
99806,shot-on-goal,5v5
99807,shot-on-goal,5v5
99814,missed-shot,5v5
99823,shot-on-goal,5v5
99831,shot-on-goal,5v4
99835,shot-on-goal,5v4
99839,missed-shot,5v5
99843,shot-on-goal,5v5
99846,shot-on-goal,5v5
99847,shot-on-goal,5v5
99848,shot-on-goal,5v5
99849,shot-on-goal,5v5
99850,shot-on-goal,5v5
99854,goal,5v4
99857,shot-on-goal,5v5
99858,shot-on-goal,5v5
99859,goal,5v5
99861,missed-shot,5v5
99870,goal,5v5
99876,shot-on-goal,5v5
99877,shot-on-goal,5v5
99881,shot-on-goal,5v5
99884,missed-shot,5v5
99889,shot-on-goal,5v5
99890,shot-on-goal,5v5
99895,missed-shot,Other
99896,goal,Other
99898,shot-on-goal,5v5
99905,shot-on-goal,5v5
99908,shot-on-goal,5v5
99909,shot-on-goal,5v5
99914,shot-on-goal,5v5
99919,missed-shot,5v5
99925,goal,5v5
99928,shot-on-goal,5v5
99930,shot-on-goal,5v5
99936,shot-on-goal,5v5
99939,shot-on-goal,5v5
99946,shot-on-goal,5v5
99947,shot-on-goal,5v5
99950,shot-on-goal,5v5
99958,shot-on-goal,Other
99962,shot-on-goal,5v5
99966,shot-on-goal,5v5
99967,shot-on-goal,5v5
99971,shot-on-goal,5v5
99972,goal,5v5
99975,shot-on-goal,5v5
99976,shot-on-goal,5v5
99979,shot-on-goal,5v5
99980,shot-on-goal,5v5
99981,goal,5v5
99983,missed-shot,5v5
99985,shot-on-goal,5v5
99988,shot-on-goal,5v5
99994,shot-on-goal,5v5
99998,missed-shot,5v4
100000,missed-shot,5v5
100005,missed-shot,5v5
100006,shot-on-goal,5v5
100010,shot-on-goal,5v5
100012,missed-shot,5v5
100014,shot-on-goal,5v5
100015,goal,5v5
100020,goal,5v4
100022,shot-on-goal,5v5
100024,missed-shot,5v5
100029,shot-on-goal,5v5
100031,shot-on-goal,5v5
100032,missed-shot,5v5
100034,shot-on-goal,5v5
100035,shot-on-goal,5v5
100037,shot-on-goal,5v5
100038,missed-shot,5v5
100039,shot-on-goal,5v5
100041,missed-shot,5v5
100042,shot-on-goal,5v5
100043,goal,5v5
100046,missed-shot,5v5
100047,missed-shot,5v5
100049,shot-on-goal,5v5
100054,shot-on-goal,5v5
100062,goal,5v5
100066,missed-shot,5v5
100073,shot-on-goal,5v5
100077,missed-shot,5v5
100080,shot-on-goal,5v5
100088,shot-on-goal,Other
100098,goal,5v5
100102,missed-shot,5v5
100108,shot-on-goal,5v5
100114,shot-on-goal,5v5
100123,missed-shot,5v5
100134,missed-shot,5v5
100138,shot-on-goal,5v5
100139,missed-shot,5v5
100141,missed-shot,5v5
100143,shot-on-goal,5v5
100145,shot-on-goal,5v5
100147,missed-shot,5v5
100151,missed-shot,5v5
100154,shot-on-goal,5v5
100159,missed-shot,5v5
100162,missed-shot,5v5
100163,shot-on-goal,5v5
100164,missed-shot,5v5
100165,shot-on-goal,Other
100166,shot-on-goal,Other
100167,goal,Other
100170,missed-shot,5v5
100171,shot-on-goal,5v5
100173,missed-shot,5v5
100174,shot-on-goal,5v5
100175,shot-on-goal,5v5
100181,shot-on-goal,5v5
100185,shot-on-goal,5v5
100187,shot-on-goal,5v5
100193,missed-shot,5v5
100195,shot-on-goal,5v5
100198,shot-on-goal,5v5
100202,shot-on-goal,5v5
100208,shot-on-goal,5v5
100213,shot-on-goal,5v5
100215,missed-shot,5v5
100217,shot-on-goal,5v5
100218,shot-on-goal,5v5
100221,shot-on-goal,5v5
100222,missed-shot,5v5
100224,shot-on-goal,5v5
100231,shot-on-goal,5v5
100236,shot-on-goal,5v5
100239,shot-on-goal,5v5
100241,missed-shot,5v5
100248,shot-on-goal,5v4
100252,missed-shot,5v5
100259,goal,5v4
100262,shot-on-goal,5v5
100264,shot-on-goal,5v5
100266,shot-on-goal,5v5
100268,shot-on-goal,5v5
100280,shot-on-goal,5v5
100282,missed-shot,5v5
100284,shot-on-goal,5v5
100292,shot-on-goal,5v5
100301,shot-on-goal,5v5
100302,shot-on-goal,5v5
100309,shot-on-goal,5v5
100311,shot-on-goal,5v5
100312,missed-shot,5v5
100314,shot-on-goal,5v5
100316,missed-shot,5v5
100318,shot-on-goal,5v5
100324,missed-shot,5v5
100326,shot-on-goal,5v5
100327,shot-on-goal,5v5
100331,shot-on-goal,5v5
100332,missed-shot,5v5
100333,missed-shot,5v5
100334,shot-on-goal,5v5
100336,shot-on-goal,5v5
100344,missed-shot,5v5
100345,shot-on-goal,5v5
100352,shot-on-goal,5v5
100359,shot-on-goal,5v5
100362,shot-on-goal,5v5
100363,shot-on-goal,5v5
100370,shot-on-goal,5v5
100372,shot-on-goal,5v5
100382,shot-on-goal,5v5
100385,shot-on-goal,Other
100388,shot-on-goal,Other
100389,shot-on-goal,Other
100391,shot-on-goal,Other
100392,shot-on-goal,Other
100395,shot-on-goal,Other
100396,shot-on-goal,Other
100399,missed-shot,Other
100400,shot-on-goal,Other
100411,shot-on-goal,5v5
100412,shot-on-goal,5v5
100414,shot-on-goal,5v5
100419,shot-on-goal,5v5
100421,missed-shot,5v5
100424,missed-shot,5v5
100425,shot-on-goal,5v5
100428,missed-shot,5v5
100429,shot-on-goal,5v5
100431,missed-shot,5v5
100437,goal,5v5
100447,shot-on-goal,5v5
100448,shot-on-goal,5v5
100449,shot-on-goal,5v5
100450,goal,5v5
100454,missed-shot,5v5
100455,shot-on-goal,5v5
100456,missed-shot,5v5
100457,shot-on-goal,5v5
100464,shot-on-goal,5v5
100466,shot-on-goal,5v5
100468,shot-on-goal,5v5
100469,missed-shot,5v5
100479,goal,5v4
100481,shot-on-goal,5v5
100484,shot-on-goal,5v5
100485,shot-on-goal,5v5
100487,shot-on-goal,5v5
100490,shot-on-goal,5v5
100491,missed-shot,5v5
100492,missed-shot,5v5
100493,goal,5v5
100497,shot-on-goal,5v5
100500,shot-on-goal,5v5
100501,shot-on-goal,5v5
100502,shot-on-goal,5v5
100503,missed-shot,5v5
100504,shot-on-goal,5v5
100507,shot-on-goal,5v5
100509,shot-on-goal,5v5
100510,missed-shot,5v5
100511,shot-on-goal,5v5
100513,shot-on-goal,5v5
100515,shot-on-goal,5v5
100519,shot-on-goal,5v5
100521,shot-on-goal,5v5
100523,goal,5v5
100525,goal,5v5
100530,missed-shot,5v5
100532,missed-shot,5v5
100537,missed-shot,5v5
100542,shot-on-goal,5v4
100544,missed-shot,5v4
100545,missed-shot,5v4
100548,shot-on-goal,5v5
100551,shot-on-goal,5v5
100556,missed-shot,5v5
100559,shot-on-goal,5v5
100562,shot-on-goal,5v5
100566,shot-on-goal,5v5
100567,missed-shot,5v5
100568,shot-on-goal,5v5
100570,missed-shot,5v5
100572,missed-shot,5v5
100575,missed-shot,5v5
100578,shot-on-goal,5v5
100579,missed-shot,5v5
100580,shot-on-goal,5v5
100581,missed-shot,5v5
100583,missed-shot,5v5
100586,missed-shot,5v5
100587,shot-on-goal,5v5
100590,shot-on-goal,5v5
100591,shot-on-goal,5v5
100593,missed-shot,5v5
100598,shot-on-goal,5v5
100601,shot-on-goal,5v5
100603,missed-shot,5v5
100606,missed-shot,5v5
100607,shot-on-goal,5v5
100614,missed-shot,Other
100615,shot-on-goal,Other
100619,missed-shot,5v5
100620,shot-on-goal,5v5
100622,missed-shot,5v5
100626,goal,5v5
100632,shot-on-goal,5v5
100635,shot-on-goal,5v5
100636,missed-shot,5v5
100637,missed-shot,5v5
100639,shot-on-goal,5v5
100640,shot-on-goal,5v5
100641,missed-shot,5v5
100645,missed-shot,5v5
100646,shot-on-goal,5v5
100649,shot-on-goal,5v5
100652,shot-on-goal,5v5
100654,shot-on-goal,5v5
100657,missed-shot,5v5
100667,missed-shot,5v5
100669,shot-on-goal,5v5
100673,shot-on-goal,5v5
100674,shot-on-goal,5v5
100675,shot-on-goal,5v5
100681,shot-on-goal,5v5
100684,shot-on-goal,5v5
100685,missed-shot,5v5
100688,goal,5v5
100696,missed-shot,5v5
100697,missed-shot,5v5
100702,shot-on-goal,5v5
100704,shot-on-goal,5v5
100705,shot-on-goal,5v5
100709,shot-on-goal,5v5
100711,shot-on-goal,5v5
100718,missed-shot,5v5
100720,shot-on-goal,5v5
100722,shot-on-goal,5v5
100728,shot-on-goal,5v5
100729,shot-on-goal,5v5
100733,missed-shot,5v5
100736,shot-on-goal,5v5
100739,shot-on-goal,5v5
100742,shot-on-goal,5v5
100745,missed-shot,5v5
100751,shot-on-goal,5v5
100756,shot-on-goal,5v5
100761,missed-shot,5v5
100763,shot-on-goal,5v5
100766,shot-on-goal,5v5
100768,shot-on-goal,5v5
100769,shot-on-goal,5v5
100770,shot-on-goal,5v5
100774,shot-on-goal,5v5
100782,goal,5v5
100784,missed-shot,5v5
100788,shot-on-goal,5v5
100789,missed-shot,5v5
100790,shot-on-goal,5v5
100796,shot-on-goal,5v5
100797,shot-on-goal,5v5
100802,missed-shot,5v5
100804,shot-on-goal,5v5
100806,shot-on-goal,5v5
100807,shot-on-goal,5v5
100809,shot-on-goal,5v5
100812,shot-on-goal,5v5
100814,shot-on-goal,5v5
100816,shot-on-goal,5v5
100817,shot-on-goal,5v5
100826,missed-shot,5v5
100832,missed-shot,5v5
100834,shot-on-goal,5v5
100838,shot-on-goal,5v5
100843,missed-shot,5v5
100845,missed-shot,5v5
100846,shot-on-goal,5v5
100848,shot-on-goal,5v5
100853,missed-shot,4v5
100856,shot-on-goal,5v4
100857,shot-on-goal,5v4
100860,shot-on-goal,5v5
100863,shot-on-goal,5v5
100864,missed-shot,5v5
100869,missed-shot,5v5
100870,shot-on-goal,5v5
100874,shot-on-goal,5v5
100881,shot-on-goal,5v5
100882,shot-on-goal,5v5
100884,shot-on-goal,5v5
100886,shot-on-goal,5v5
100889,shot-on-goal,5v5
100890,missed-shot,5v5
100891,shot-on-goal,5v5
100892,shot-on-goal,5v5
100893,goal,5v5
100897,shot-on-goal,5v5
100913,goal,5v5
100915,missed-shot,5v5
100916,missed-shot,5v5
100918,shot-on-goal,5v5
100919,goal,5v5
100921,shot-on-goal,5v5
100922,shot-on-goal,5v5
100923,goal,5v5
100927,shot-on-goal,5v5
100928,shot-on-goal,5v5
100937,shot-on-goal,Other
100939,shot-on-goal,Other
100945,shot-on-goal,5v5
100948,shot-on-goal,5v5
100950,missed-shot,5v5
100951,goal,5v5
100956,shot-on-goal,5v5
100960,missed-shot,5v5
100974,missed-shot,5v5
100975,missed-shot,5v5
100983,shot-on-goal,5v5
100984,goal,5v5
100987,shot-on-goal,5v5
100992,shot-on-goal,5v5
100995,shot-on-goal,5v5
100996,missed-shot,5v5
100997,missed-shot,5v5
101000,shot-on-goal,5v5
101002,shot-on-goal,5v5
101003,shot-on-goal,5v5
101006,shot-on-goal,5v5
101012,missed-shot,5v4
101015,shot-on-goal,5v4
101018,missed-shot,5v4
101019,shot-on-goal,5v4
101020,missed-shot,5v5
101025,shot-on-goal,5v5
101029,shot-on-goal,5v5
101032,missed-shot,5v5
101036,shot-on-goal,5v5
101040,shot-on-goal,5v5
101041,goal,5v5
101046,shot-on-goal,5v5
101049,goal,5v4
101051,shot-on-goal,5v5
101056,shot-on-goal,5v5
101058,shot-on-goal,5v5
101059,shot-on-goal,5v5
101071,shot-on-goal,5v5
101078,shot-on-goal,5v5
101079,missed-shot,5v5
101082,shot-on-goal,5v5
101084,shot-on-goal,5v5
101087,missed-shot,5v5
101089,shot-on-goal,5v5
101091,missed-shot,5v5
101095,shot-on-goal,5v5
101099,missed-shot,5v5
101101,shot-on-goal,5v5
101102,shot-on-goal,5v5
101104,goal,5v5
101109,shot-on-goal,5v5
101110,shot-on-goal,5v5
101113,shot-on-goal,5v5
101114,missed-shot,5v5
101117,shot-on-goal,5v5
101119,missed-shot,5v5
101121,missed-shot,Other
101128,shot-on-goal,5v5
101129,shot-on-goal,5v5
101130,shot-on-goal,5v5
101132,missed-shot,5v5
101133,shot-on-goal,5v5
101135,missed-shot,5v5
101136,shot-on-goal,5v5
101137,shot-on-goal,5v5
101140,shot-on-goal,5v5
101150,shot-on-goal,5v5
101155,shot-on-goal,5v5
101163,missed-shot,5v5
101166,shot-on-goal,5v5
101174,shot-on-goal,4v5
101177,shot-on-goal,5v5
101182,missed-shot,5v5
101185,shot-on-goal,5v5
101192,shot-on-goal,5v5
101193,shot-on-goal,5v5
101197,shot-on-goal,5v5
101199,shot-on-goal,5v5
101205,missed-shot,5v5
101208,missed-shot,5v5
101210,shot-on-goal,5v5
101211,missed-shot,5v5
101215,goal,5v5
101219,shot-on-goal,5v5
101222,shot-on-goal,4v5
101225,shot-on-goal,4v5
101232,shot-on-goal,5v5
101234,shot-on-goal,5v5
101236,missed-shot,5v5
101237,shot-on-goal,5v5
101240,missed-shot,5v5
101242,shot-on-goal,5v5
101243,missed-shot,5v5
101244,shot-on-goal,5v5
101250,shot-on-goal,5v5
101251,shot-on-goal,5v5
101252,shot-on-goal,5v5
101254,missed-shot,5v5
101256,shot-on-goal,5v5
101257,shot-on-goal,5v5
101258,shot-on-goal,5v5
101262,missed-shot,5v5
101265,shot-on-goal,5v5
101274,missed-shot,4v5
101275,missed-shot,5v4
101282,shot-on-goal,5v5
101285,shot-on-goal,5v5
101288,shot-on-goal,5v5
101291,goal,5v4
101301,shot-on-goal,5v4
101316,shot-on-goal,5v5
101318,shot-on-goal,5v5
101320,missed-shot,5v5
101323,shot-on-goal,5v5
101325,shot-on-goal,5v5
101328,missed-shot,5v5
101330,shot-on-goal,5v5
101333,shot-on-goal,5v5
101334,shot-on-goal,5v5
101336,goal,5v5
101341,missed-shot,5v5
101351,shot-on-goal,5v4
101354,missed-shot,5v5
101355,shot-on-goal,5v5
101356,shot-on-goal,5v5
101358,shot-on-goal,5v5
101361,missed-shot,5v5
101364,shot-on-goal,5v5
101369,missed-shot,5v5
101371,shot-on-goal,5v5
101376,missed-shot,5v5
101385,missed-shot,5v4
101388,missed-shot,5v5
101391,shot-on-goal,5v5
101392,goal,5v5
101397,shot-on-goal,5v5
101398,goal,5v5
101400,shot-on-goal,5v5
101402,goal,5v5
101404,missed-shot,5v5
101406,shot-on-goal,5v5
101408,shot-on-goal,5v5
101409,shot-on-goal,5v5
101414,missed-shot,5v5
101415,shot-on-goal,5v5
101416,shot-on-goal,5v5
101418,shot-on-goal,5v5
101420,shot-on-goal,5v5
101421,goal,5v5
101423,shot-on-goal,5v5
101424,shot-on-goal,5v5
101432,missed-shot,5v5
101435,missed-shot,5v5
101436,shot-on-goal,5v5
101438,shot-on-goal,5v5
101441,shot-on-goal,5v4
101442,shot-on-goal,5v4
101446,shot-on-goal,5v5
101450,shot-on-goal,5v5
101452,missed-shot,5v5
101454,shot-on-goal,5v5
101455,missed-shot,5v5
101457,shot-on-goal,5v5
101458,shot-on-goal,5v5
101460,shot-on-goal,5v5
101464,missed-shot,5v5
101467,shot-on-goal,5v4
101470,missed-shot,5v4
101472,shot-on-goal,5v5
101476,goal,5v5
101478,shot-on-goal,5v5
101481,goal,5v5
101487,shot-on-goal,5v5
101489,shot-on-goal,5v5
101490,shot-on-goal,5v5
101495,missed-shot,5v4
101499,missed-shot,5v5
101500,shot-on-goal,5v5
101502,missed-shot,5v5
101503,goal,5v5
101511,shot-on-goal,5v5
101515,missed-shot,5v5
101518,shot-on-goal,Other
101521,shot-on-goal,5v4
101522,shot-on-goal,4v5
101524,shot-on-goal,5v5
101527,shot-on-goal,5v5
101530,missed-shot,5v5
101532,missed-shot,5v5
101533,shot-on-goal,5v5
101536,missed-shot,5v5
101538,shot-on-goal,5v5
101539,shot-on-goal,5v5
101544,missed-shot,5v4
101546,goal,5v4
101554,shot-on-goal,5v5
101555,shot-on-goal,5v5
101557,shot-on-goal,5v5
101559,shot-on-goal,5v5
101564,shot-on-goal,5v5
101568,shot-on-goal,5v5
101570,shot-on-goal,5v5
101571,shot-on-goal,5v5
101573,shot-on-goal,5v5
101576,goal,5v5
101578,shot-on-goal,5v5
101579,missed-shot,5v5
101581,shot-on-goal,5v5
101584,missed-shot,5v5
101585,shot-on-goal,5v5
101586,goal,5v5
101590,missed-shot,5v5
101593,missed-shot,5v5
101595,missed-shot,5v5
101597,shot-on-goal,5v5
101599,goal,5v5
101607,shot-on-goal,Other
101609,shot-on-goal,Other
101611,shot-on-goal,5v5
101615,shot-on-goal,5v5
101616,shot-on-goal,5v5
101620,shot-on-goal,5v5
101624,shot-on-goal,5v5
101626,shot-on-goal,5v5
101628,shot-on-goal,5v5
101631,shot-on-goal,5v5
101648,shot-on-goal,5v5
101650,missed-shot,5v5
101654,shot-on-goal,5v5
101656,missed-shot,5v5
101664,shot-on-goal,5v5
101667,shot-on-goal,5v4
101668,goal,5v4
101671,shot-on-goal,5v5
101675,shot-on-goal,5v5
101682,shot-on-goal,5v5
101687,missed-shot,5v5
101690,goal,5v5
101695,shot-on-goal,5v5
101699,shot-on-goal,5v4
101700,shot-on-goal,5v4
101709,shot-on-goal,5v4
101710,shot-on-goal,5v4
101718,goal,Other
101723,shot-on-goal,5v4
101727,missed-shot,5v5
101728,missed-shot,5v5
101729,missed-shot,5v5
101730,shot-on-goal,5v5
101733,shot-on-goal,5v5
101734,shot-on-goal,5v5
101737,shot-on-goal,5v5
101742,missed-shot,5v5
