,event_type,strength_state
755,goal,5v5
760,missed-shot,5v4
763,missed-shot,5v4
764,shot-on-goal,5v4
765,shot-on-goal,5v5
767,missed-shot,5v5
768,shot-on-goal,5v5
769,shot-on-goal,5v5
772,shot-on-goal,5v5
773,shot-on-goal,5v5
775,missed-shot,5v5
777,missed-shot,5v5
779,missed-shot,5v5
785,missed-shot,5v4
786,shot-on-goal,5v4
787,shot-on-goal,4v5
792,shot-on-goal,Other
798,goal,5v5
801,shot-on-goal,5v5
807,shot-on-goal,5v5
808,shot-on-goal,5v5
810,shot-on-goal,5v5
813,missed-shot,5v5
819,missed-shot,5v4
823,missed-shot,Other
829,shot-on-goal,Other
833,shot-on-goal,5v5
834,goal,5v5
837,shot-on-goal,5v5
839,shot-on-goal,5v5
848,shot-on-goal,5v5
852,shot-on-goal,5v5
860,shot-on-goal,5v5
869,missed-shot,5v5
870,missed-shot,5v5
872,shot-on-goal,5v5
874,missed-shot,5v5
877,shot-on-goal,5v5
883,missed-shot,5v5
889,shot-on-goal,5v5
890,missed-shot,5v5
891,shot-on-goal,5v5
892,shot-on-goal,5v5
893,shot-on-goal,5v5
894,shot-on-goal,5v5
895,shot-on-goal,5v5
907,missed-shot,5v5
908,missed-shot,5v5
910,shot-on-goal,5v5
911,missed-shot,5v5
912,missed-shot,5v5
913,missed-shot,5v5
917,missed-shot,5v5
919,shot-on-goal,5v5
920,shot-on-goal,5v5
925,shot-on-goal,5v5
926,missed-shot,5v5
928,shot-on-goal,5v5
935,shot-on-goal,5v5
936,shot-on-goal,5v5
945,missed-shot,5v5
949,missed-shot,5v4
950,shot-on-goal,5v4
952,shot-on-goal,5v5
953,missed-shot,5v5
955,shot-on-goal,5v5
961,goal,4v5
963,goal,5v4
967,shot-on-goal,5v5
969,shot-on-goal,5v5
973,shot-on-goal,5v5
977,shot-on-goal,5v5
978,missed-shot,5v5
981,missed-shot,5v5
985,missed-shot,5v5
987,shot-on-goal,5v5
989,shot-on-goal,5v5
992,missed-shot,5v5
993,missed-shot,5v5
994,shot-on-goal,5v5
998,goal,5v5
1000,shot-on-goal,5v5
1003,shot-on-goal,5v5
